"track_artist","track_popularity","playlist_genre","playlist_subgenre","release_date","duration_min","danceability","energy","loudness","speechiness","acousticness","liveness","tempo"
"Scooped Up!",30,"rock","hard rock","2019-10-10",1.91666666666667,0.297,0.974,-4.096,0.135,0.00366,0.113,131.333
"Bad Feelings",20,"pop","indie poptimism","2016-05-25",5.26666666666667,0.546,0.591,-5.649,0.0284,0.0616,0.275,120.031
"Andrew Ripp",2,"pop","indie poptimism","2015-10-16",4.43621666666667,0.589,0.846,-5.455,0.0377,0.069,0.0904,122
"Fotty Seven",44,"rap","hip hop","2019-07-12",3.49178333333333,0.74,0.721,-6.323,0.177,0.762,0.0922,119.956
"Three Days Grace",54,"rock","hard rock","2006-06-25",3.15511666666667,0.451,0.884,-3.451,0.0335,0.00177,0.193,97.48
"Baani Sandhu",67,"rap","hip hop","2019-09-12",3.5,0.652,0.862,-2.29,0.206,0.161,0.203,173.859
"Nacho",54,"latin","reggaeton","2018-04-03",3.78245,0.701,0.772,-5.458,0.184,0.0515,0.0959,187.971
"RetroVision",58,"edm","electro house","2019-05-17",2.87301666666667,0.698,0.895,-3.683,0.101,0.00764,0.217,126.046
"Olexesh",13,"rap","gangster rap","2015-03-27",2.47498333333333,0.625,0.805,-4.692,0.388,0.552,0.108,93.328
"Kodak Black",56,"latin","latin hip hop","2018-10-11",3.81813333333333,0.863,0.627,-5.708,0.206,0.0485,0.0968,98.042
"The DeLorean Sisters",35,"r&b","hip pop","2015-06-30",3.03933333333333,0.67,0.695,-5.689,0.0285,0.612,0.17,127.775
"Bell Biv DeVoe",0,"r&b","new jack swing","2012-01-01",4.58445,0.707,0.771,-7.559,0.0368,0.157,0.113,107.829
"Billie Eilish",81,"r&b","urban contemporary","2019-03-29",4.0442,0.319,0.0561,-23.023,0.045,0.935,0.388,79.764
"Waft Of Myst",24,"edm","pop edm","2019-08-08",4.1,0.688,0.916,-5.181,0.0832,0.00761,0.403,127.984
"Jill Scott",49,"r&b","neo soul","2015-07-24",4.52778333333333,0.642,0.572,-8.383,0.063,0.0814,0.0725,72.493
"Elliot Moss",55,"pop","indie poptimism","2015-07-06",4.98178333333333,0.716,0.275,-10.013,0.0547,0.754,0.147,63.513
"Don Diablo",50,"edm","progressive electro house","2019-01-31",3.12903333333333,0.445,0.803,-4.055,0.0964,0.204,0.066,123.502
"Eminence",30,"edm","progressive electro house","2017-04-20",3.44296666666667,0.507,0.516,-8.461,0.0408,0.309,0.132,82.464
"Bad Bunny",90,"pop","post-teen pop","2019-05-31",4.17556666666667,0.61,0.624,-4.773,0.309,0.6,0.243,176.169
"Volkoder",45,"edm","electro house","2018-09-21",6.09783333333333,0.805,0.962,-8.781,0.0672,0.000683,0.0806,126.027
"Sam Feldt",6,"latin","tropical","2017-11-24",3.11016666666667,0.698,0.653,-6.365,0.0521,0.424,0.321,100.976
"Spinal Tap",0,"rock","hard rock","1984-01-01",2.60445,0.398,0.859,-10.572,0.0499,0.00264,0.0305,92.132
